id,created_at,text,likes,in reply to,retweeted,Subjectivity,Polarity,Analysis
1456154392013402116,2021-11-04 07:00:35, attended gucciloveparade wearing a gucci interlocking g coat mini gg canvas slingbacks a guccidiana min ,584,,False,0.0,0.0,Neutral
1456100940386349056,2021-11-04 03:28:11, the italian band atop global charts and stars of the gucciaria campaign wore guccitailoring lo ,1979,,False,0.0,0.0,Neutral
1456005913261707264,2021-11-03 21:10:35,in a moment of déjà new at gucciloveparade wore alessandromicheles gucciaria rendition of the ,633,,False,0.45454545454545453,0.13636363636363635,Positive
1455952601413918721,2021-11-03 17:38:45,i thoughtabout the indefeasible gift of dreaming and the mythopoetic aura of cinema this is why i chose hollyw ,869,,False,0.0,0.0,Neutral
1455737984507125766,2021-11-03 03:25:56,spotted on hollywood boulevard for gucciloveparade   who recently starred in our guccibeloved campaign dianekeaton,301,,False,0.25,0.0,Neutral
1455737340555563014,2021-11-03 03:23:22, has just arrived at gucciloveparade in that red suit alessandromichele,267,,False,0.0,0.0,Neutral
1455733735047958530,2021-11-03 03:09:03,  star of the guccibeauty florafantasy campaign  taking selfies with fans as she arrives at gucciloveparade,612,MileyCyrus,False,0.0,0.0,Neutral
1455733133664477185,2021-11-03 03:06:39, posing at the photo wall before gucciloveparade begins,5,TheSineadBurke,False,0.0,0.0,Neutral
1455732840516268034,2021-11-03 03:05:30,just spotted at gucciloveparade  dakotajohnson and heading to their seats natashalyonne stevenyeun,455,,False,0.0,0.0,Neutral
1455732087227551751,2021-11-03 03:02:30, who recently starred in the gucciaria campaign arriving now at gucciloveparade maneskin,1112,thisismaneskin,False,0.25,0.0,Neutral
1455731588994519044,2021-11-03 03:00:31,watch gucciloveparade live from hollywood boulevard ,2341,,False,0.5,0.13636363636363635,Positive
1455730897425244160,2021-11-03 02:57:46,ridleyscott director of the forthcoming houseofgucci movie making an entrance gucciloveparade,1386,,False,0.0,0.0,Neutral
1455730365440593926,2021-11-03 02:55:39,  and arriving at gucciloveparade anjelicahuston paulmescal traceeellisross,6,anjelicahuston,False,0.0,0.0,Neutral
1455728394398834690,2021-11-03 02:47:50,hi and  welcome to gucciloveparade lizzo kimgordon,270,,False,0.9,0.8,Positive
1455727010941186048,2021-11-03 02:42:20, just arriving now for gucciloveparade billieeilish,87,billieeilish,False,0.0,0.0,Neutral
1455725669598601216,2021-11-03 02:37:00, and have arrived to attend the gucciloveparade fashion show streaming live at pt,3,celeste,False,0.5,0.13636363636363635,Positive
1455724416030191616,2021-11-03 02:32:01, stopped to chat with the gathered crowd before heading to hollywood boulevard for gucciloveparade,4,SelmaBlair,False,0.0,0.0,Neutral
1455724050924417026,2021-11-03 02:30:34,spotted james corden and alessandro borghi arriving at gucciloveparade,269,,False,0.0,0.0,Neutral
1455723090227380225,2021-11-03 02:26:45,kicking off our live coverage of guest arrivals at gucciloveparade in los angeles the livestream of the fashion s ,365,,False,0.5,0.13636363636363635,Positive
1455716361292951559,2021-11-03 02:00:01,nine letters dripping with desire read alessandromicheles notes on gucciloveparade ,380,,False,0.0,0.0,Neutral
1455655246315786240,2021-11-02 21:57:10,once upon a time in guccywood stay tuned as we live tweet arrivals on hollywood boulevard before the beginning of ,1408,,False,0.5,0.13636363636363635,Positive
1455577238020104197,2021-11-02 16:47:11,love scene investigation gucciloveparade is coming alessandromichele ,769,,False,0.6,0.5,Positive
1455295050737410055,2021-11-01 22:05:52,on the second night of harryween and his band dressed up as clowns in custom gucci looks by ,14734,,False,0.0,0.0,Neutral
1455294919992565760,2021-11-01 22:05:21,jayz was inducted into the rock  roll hall of fame wearing a gucci dark blue satin tuxedo with evening shirt and ,764,,False,0.25,-0.075,Negative
1454921548721238019,2021-10-31 21:21:43,for his harryween concert and members of his band dressed up as characters from the book the wonder ,23088,,False,0.0,0.0,Neutral
1454840726290776069,2021-10-31 16:00:33,a brush with divinity stay tuned for gucciloveparade alessandromichele ,592,,False,0.0,0.0,Neutral
